customer_id,customer_name,email,region,signup_date
C00001,Customer 1,customer1@example.com,north,2023-10-17
C00002,Customer 2,customer2@example.com,central,2022-01-26
C00003,Customer 3,customer3@example.com,south,2022-09-08
C00004,Customer 4,customer4@example.com,north,2022-05-23
C00005,Customer 5,customer5@example.com,west,2023-11-24
C00006,Customer 6,customer6@example.com,west,2022-03-31
C00007,Customer 7,customer7@example.com,north,2023-03-09
C00008,Customer 8,customer8@example.com,north,2022-01-31
C00009,Customer 9,customer9@example.com,south,2022-08-12
C00010,Customer 10,customer10@example.com,west,2023-06-02
C00011,Customer 11,customer11@example.com,west,2022-01-28
C00012,Customer 12,customer12@example.com,west,2022-07-23
C00013,Customer 13,customer13@example.com,south,2023-03-06
C00014,Customer 14,customer14@example.com,west,2023-04-05
C00015,Customer 15,customer15@example.com,north,2022-10-12
C00016,Customer 16,customer16@example.com,south,2024-02-17
C00017,Customer 17,customer17@example.com,bajio,2023-12-16
C00018,Customer 18,customer18@example.com,central,2022-12-15
C00019,Customer 19,customer19@example.com,south,2022-06-09
C00020,Customer 20,customer20@example.com,central,2024-02-21
C00021,Customer 21,customer21@example.com,north,2022-04-15
C00022,Customer 22,customer22@example.com,north,2023-01-25
C00023,Customer 23,customer23@example.com,central,2023-01-03
C00024,Customer 24,customer24@example.com,central,2023-09-11
C00025,Customer 25,customer25@example.com,north,2024-04-06
C00026,Customer 26,customer26@example.com,bajio,2024-01-18
C00027,Customer 27,customer27@example.com,north,2023-07-04
C00028,Customer 28,customer28@example.com,north,2023-01-23
C00029,Customer 29,customer29@example.com,central,2023-07-20
C00030,Customer 30,customer30@example.com,west,2024-04-29
C00031,Customer 31,customer31@example.com,central,2024-06-01
C00032,Customer 32,customer32@example.com,south,2023-08-15
C00033,Customer 33,customer33@example.com,north,2023-12-23
C00034,Customer 34,customer34@example.com,south,2022-02-16
C00035,Customer 35,customer35@example.com,central,2024-03-02
C00036,Customer 36,customer36@example.com,south,2022-03-23
C00037,Customer 37,customer37@example.com,north,2024-06-06
C00038,Customer 38,customer38@example.com,central,2023-01-25
C00039,Customer 39,customer39@example.com,central,2023-04-10
C00040,Customer 40,customer40@example.com,central,2022-06-16
C00041,Customer 41,customer41@example.com,south,2022-12-30
C00042,Customer 42,customer42@example.com,central,2023-11-18
C00043,Customer 43,customer43@example.com,north,2023-12-20
